epoch_num,learning_rate,average_loss_train,average_loss_test
10,0.001,0.16964500149091086,0.16286715865135193
20,0.001,0.11346701408425967,0.08179552294313908
30,0.001,0.0869418481985728,0.0736330933868885
40,0.001,0.109672745068868,0.09226392209529877
50,0.001,0.06892040620247523,0.06741701066493988
60,0.001,0.0608551912009716,0.08914229273796082
70,0.001,0.059239720925688744,0.05970558524131775
80,0.001,0.07688255856434505,0.05492416396737099
90,0.001,0.05011369350055853,0.06097841449081898
100,0.001,0.04951781593263149,0.07900414802134037
110,0.001,0.04986841604113579,0.04955651983618736
120,0.001,0.05265058328708013,0.053879113867878914
130,0.001,0.0438471877326568,0.06784562580287457
140,0.001,0.044981163926422596,0.04476558696478605
150,0.001,0.03966147142151991,0.047500431537628174
160,0.001,0.041667371367414795,0.04484199918806553
170,0.001,0.04387323961903652,0.04471787344664335
180,0.001,0.047575301180283226,0.07259328663349152
190,0.001,0.03668845693270365,0.05469107814133167
200,0.001,0.036202951023976006,0.05248834006488323
210,0.001,0.03526815725490451,0.04548671096563339
220,0.001,0.038493993847320475,0.05479004792869091
230,0.001,0.03832739188025395,0.06077416613698006
240,0.001,0.03651838625470797,0.05548468790948391
250,0.001,0.03183032075564066,0.04226495698094368
260,0.001,0.044834764674305916,0.041627888567745686
270,0.001,0.0405973040809234,0.04457585792988539
280,0.001,0.04631628810117642,0.0483942199498415
290,0.001,0.04001019584635893,0.06349370256066322
300,0.001,0.04158325307071209,0.06450606137514114
310,0.001,0.03954359175016483,0.04402819089591503
320,0.001,0.04070348789294561,0.06647331640124321
330,0.001,0.037418184025834,0.062311531975865364
340,0.001,0.036348817870020866,0.048780541867017746
350,0.001,0.03755366305510203,0.04109658673405647
360,0.001,0.038123871510227524,0.0638170838356018
370,0.001,0.04153676517307758,0.043650537729263306
380,0.001,0.039218852606912456,0.07246774807572365
390,0.001,0.03343593321430186,0.05953375995159149
400,0.001,0.036962948429087795,0.05339489318430424
410,0.001,0.042379043996334076,0.04812035337090492
420,0.001,0.03119260569413503,0.04607084020972252
430,0.001,0.039243520547946296,0.03574843145906925
440,0.001,0.03373411235709985,0.0407421113923192
450,0.001,0.03368366944293181,0.041717009618878365
460,0.001,0.03168546734377742,0.045926712453365326
470,0.001,0.03577646302680174,0.05018729157745838
480,0.001,0.037510030902922153,0.0430288827046752
490,0.001,0.030212079485257465,0.03499864600598812
500,0.001,0.03464124910533428,0.03687743050977588
510,0.001,0.032634980510920286,0.04494261182844639
520,0.001,0.03422360712041458,0.03821714594960213
530,0.001,0.03333666082471609,0.04140270594507456
540,0.001,0.0378285658856233,0.06779925897717476
550,0.001,0.027289279426137607,0.03750115446746349
560,0.001,0.03519018879160285,0.05098944343626499
570,0.001,0.03078366086507837,0.029700865037739277
580,0.001,0.03184667260696491,0.05784991942346096
590,0.001,0.03108281393845876,0.048660099506378174
600,0.001,0.031069948027531307,0.039227490313351154
610,0.001,0.030756142145643633,0.05722475424408913
620,0.001,0.027445513444642227,0.04211813025176525
630,0.001,0.026780623632172745,0.053091349080204964
640,0.001,0.036308652410904564,0.05015483498573303
650,0.001,0.034069083941479526,0.07249885238707066
660,0.001,0.024312728860725958,0.027618193067610264
670,0.001,0.04336991347372532,0.0472367238253355
680,0.001,0.030278624035418034,0.0376824215054512
690,0.001,0.03373951278626919,0.04773271828889847
700,0.001,0.03798624221235514,0.04463439341634512
710,0.001,0.027419801180561382,0.03635793179273605
720,0.001,0.02646515549470981,0.04542499780654907
730,0.001,0.03653740820785364,0.07012941315770149
740,0.001,0.033407469280064106,0.048572441563010216
750,0.001,0.03662507406746348,0.07004116103053093
760,0.001,0.03400001705934604,0.03875051345676184
770,0.001,0.03240512932340304,0.03828480839729309
780,0.001,0.033848198441167675,0.052252426743507385
790,0.001,0.04418876332541307,0.048861077055335045
800,0.001,0.035516793529192604,0.06286203861236572
810,0.001,0.039119585727651916,0.04114522412419319
820,0.001,0.02948045978943507,0.04458082094788551
830,0.001,0.028507021411011618,0.04050867259502411
840,0.001,0.028589909120152395,0.04354352131485939
850,0.001,0.028638399361322325,0.04740360751748085
860,0.001,0.03274205947915713,0.05975302681326866
870,0.001,0.03853308502584696,0.05237604305148125
880,0.001,0.03052642506857713,0.03719670884311199
890,0.001,0.0298590740809838,0.04223071224987507
900,0.001,0.03408979997038841,0.04865646734833717
910,0.001,0.03488133785625299,0.04502902086824179
920,0.001,0.028549890344341595,0.049552856013178825
930,0.001,0.03676484401027361,0.054904988035559654
940,0.001,0.0274600968696177,0.06021646782755852
950,0.001,0.021429412454987567,0.03993712738156319
960,0.001,0.030532106757164,0.043866122141480446
970,0.001,0.026655008395512898,0.06295536458492279
980,0.001,0.03274353127926588,0.0732440035790205
990,0.001,0.04074234515428543,0.07047902047634125
1000,0.001,0.04596418204406897,0.0501308087259531
