epoch_num,learning_rate,evolution_epoch,max_fitness,average_loss_test_neat,average_loss_test_mlp,node_num_neat,connection_num_neat
50,0.001,10,20.0,4.352182388305664,10.93169355392456,3,3
50,0.001,10,40.0,6.184470176696777,7.926502466201782,5,8
50,0.001,10,60.0,5.335410118103027,15.087903022766113,1,2
50,0.001,10,80.0,6.467070579528809,10.95556354522705,1,0
50,0.001,30,20.0,5.496124267578125,11.289432525634766,5,5
50,0.001,30,40.0,5.562196731567383,7.844903469085693,2,3
50,0.001,30,60.0,3.160994052886963,13.191291332244873,5,9
50,0.001,30,80.0,6.457159519195557,10.72473955154419,1,0
50,0.001,50,20.0,2.9860944747924805,13.63227891921997,3,3
50,0.001,50,40.0,4.120272636413574,12.683502197265625,3,4
50,0.001,50,60.0,4.3205885887146,11.558436870574951,2,3
50,0.001,50,80.0,6.072282314300537,10.18315076828003,1,0
100,0.001,10,20.0,4.079835891723633,8.783789157867432,2,4
100,0.001,10,40.0,7.179615020751953,9.037127017974854,4,7
100,0.001,10,60.0,4.467679023742676,8.838352680206299,1,1
100,0.001,10,80.0,8.249202728271484,10.352319240570068,1,0
100,0.001,30,20.0,3.9534873962402344,10.519734859466553,3,8
100,0.001,30,40.0,5.095546722412109,8.206774234771729,4,7
100,0.001,30,60.0,5.4592790603637695,9.199665546417236,2,3
100,0.001,30,80.0,5.451415538787842,7.447009086608887,1,0
100,0.001,50,20.0,6.107860088348389,8.60352349281311,5,7
100,0.001,50,40.0,4.27467155456543,9.045409679412842,4,5
100,0.001,50,60.0,6.069067001342773,11.163073539733887,1,2
100,0.001,50,80.0,6.528807640075684,10.263707637786865,1,0
150,0.001,10,20.0,4.572052001953125,7.0476531982421875,4,8
150,0.001,10,40.0,5.630440711975098,11.225378274917603,2,3
150,0.001,10,60.0,4.166956901550293,11.282159328460693,1,2
150,0.001,10,80.0,5.475867748260498,8.781612873077393,1,0
150,0.001,30,20.0,3.6703338623046875,8.331837177276611,9,16
150,0.001,30,40.0,2.271371364593506,8.2792067527771,3,5
150,0.001,30,60.0,6.895596504211426,8.144373178482056,2,2
150,0.001,30,80.0,3.78350567817688,9.171714782714844,1,0
150,0.001,50,20.0,3.8812618255615234,9.489152908325195,3,4
50,0.001,10,30.0,5.073019504547119,15.646695613861084,4,6
50,0.001,10,50.0,3.519326686859131,12.005480766296387,3,4
50,0.001,10,70.0,4.6780686378479,10.06528091430664,1,3
50,0.001,30,30.0,3.4282023906707764,9.00097942352295,4,6
50,0.001,30,50.0,4.425333499908447,10.51240873336792,4,7
50,0.001,30,70.0,5.73432731628418,8.778364896774292,1,1
50,0.001,50,30.0,3.867203950881958,11.790306091308594,2,4
50,0.001,50,50.0,4.467217445373535,14.272706985473633,5,8
50,0.001,50,70.0,5.166196823120117,13.706165313720703,1,1
100,0.001,10,30.0,4.647946357727051,8.668147325515747,1,2
100,0.001,10,50.0,3.9151439666748047,11.307138442993164,1,3
100,0.001,10,70.0,5.697659969329834,9.134524822235107,1,0
100,0.001,30,30.0,4.979389190673828,8.888031482696533,2,3
100,0.001,30,50.0,4.646627902984619,9.771781921386719,1,3
100,0.001,30,70.0,4.217568874359131,9.171618223190308,1,0
100,0.001,50,30.0,4.622400760650635,9.988535404205322,4,6
100,0.001,50,50.0,3.7596442699432373,9.498867511749268,4,3
100,0.001,50,70.0,4.970808982849121,9.41412353515625,1,0
150,0.001,10,30.0,5.328012466430664,9.437546968460083,2,4
150,0.001,10,50.0,5.050928115844727,11.754993915557861,4,8
150,0.001,10,70.0,5.417076110839844,8.537018299102783,1,0
150,0.001,30,30.0,6.157616138458252,9.378121614456177,6,10
150,0.001,30,50.0,3.3084592819213867,8.007618188858032,2,1
150,0.001,30,70.0,5.421654224395752,10.968291759490967,1,0
150,0.001,50,30.0,5.423189640045166,8.129650592803955,10,16
150,0.001,50,50.0,4.342685699462891,11.774510383605957,3,2
150,0.001,50,70.0,5.899173736572266,7.840497016906738,1,0
